,State,District,District Code,Total Population,Male,Female,Total Household,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Small Scale Industries (0-1),Adult & Non-Formal Education (0-1),Census 2011 Code,District Name
10,RAJASTHAN (8),CHURU (96),96,573549.0,296201.0,263797.0,115835.0,1.024,1.328,1.536,0.052000000000000005,3.8680000000000003,2.016,5.572,2.592,0.092,0.41200000000000003,0.54,0.048,0.532,4.15,1.32,2.56,0.256,0.46,4.332,3.07,0.172,0.72,0.782,0.084,0.11599999999999999,0.084,102,CHURU
11,RAJASTHAN (8),DAUSA (97),97,167459.0,88721.0,78705.0,31710.0,1.0174418604651163,3.1802325581395348,1.75,0.02325581395348837,3.9418604651162785,0.5930232558139535,4.47093023255814,2.127906976744186,0.06976744186046513,0.2790697674418605,0.38372093023255816,0.02325581395348837,0.20930232558139536,3.8546511627906983,1.0174418604651163,2.2732558139534884,0.4011627906976744,1.1918604651162792,3.319767441860465,2.63953488372093,0.06976744186046513,0.2325581395348837,0.7034883720930233,0.0,0.034883720930232565,0.10465116279069768,109,DAUSA
12,RAJASTHAN (8),DHOLPUR (98),98,294746.0,155496.0,131066.0,56161.0,1.405,3.305,1.4525,0.005,3.81,0.72,5.14,2.2225,0.095,0.29,0.39,0.05,0.27,3.2975,1.2575,2.2675,0.4075,0.76,3.5775,3.48,0.1,0.405,1.0,0.08,0.185,0.03,106,DHOLPUR
13,RAJASTHAN (8),DUNGARPUR (99),99,458782.0,222229.0,220370.0,101448.0,1.4096153846153847,3.0673076923076925,1.9692307692307691,0.1346153846153846,2.857692307692308,0.5653846153846154,5.6692307692307695,2.3634615384615385,0.07692307692307693,0.4615384615384616,0.6115384615384616,0.03461538461538462,0.3692307692307693,4.4923076923076914,1.3269230769230769,2.671153846153846,0.3423076923076923,1.1,3.5538461538461537,3.45,0.3615384615384615,0.6384615384615384,1.4923076923076923,0.06923076923076922,0.05384615384615385,0.05,124,DUNGARPUR
14,RAJASTHAN (8),GANGANAGAR (100),100,115904.0,61220.0,54519.0,23482.0,0.765,4.225,0.7475,0.015,3.2,1.655,4.67,2.63,0.04,0.13,0.065,0.025,0.135,3.44,0.77,1.3875,0.2375,0.3575,2.5825,2.7375,0.015,0.255,0.2975,0.02,0.01,0.035,99,GANGANAGAR
15,RAJASTHAN (8),HANUMANGARH (101),101,134351.0,70297.0,63284.0,25387.0,0.7666666666666667,4.1194444444444445,1.1194444444444445,0.03888888888888889,3.7222222222222223,1.5888888888888888,4.130555555555556,2.4777777777777783,0.08888888888888889,0.16666666666666666,0.1,0.04444444444444445,0.11666666666666667,3.2805555555555554,0.825,1.1916666666666669,0.2111111111111111,0.5,2.7944444444444443,2.1111111111111107,0.06111111111111111,0.2,0.2222222222222222,0.03333333333333333,0.04444444444444445,0.03888888888888889,100,HANUMANGARH
16,RAJASTHAN (8),JAIPUR (102),102,324025.0,170377.0,151350.0,61195.0,1.289855072463768,3.0024154589371985,1.3429951690821256,0.033816425120772944,3.816425120772947,1.2801932367149758,4.903381642512077,2.4420289855072466,0.07246376811594203,0.2898550724637681,0.4396135265700483,0.014492753623188406,0.2463768115942029,3.9371980676328495,1.0869565217391304,2.2584541062801935,0.43719806763285024,0.8937198067632851,3.4227053140096624,2.557971014492753,0.13043478260869565,0.3719806763285024,0.3647342995169082,0.024154589371980683,0.1111111111111111,0.12077294685990338,110,JAIPUR
17,RAJASTHAN (8),JAISALMER (103),103,114390.0,61379.0,52240.0,24776.0,0.7266666666666667,1.9333333333333331,0.59,0.09333333333333334,2.9066666666666667,0.4533333333333333,4.076666666666667,1.9866666666666664,0.12666666666666668,0.24,0.5866666666666667,0.06,0.18666666666666668,2.536666666666666,0.65,1.9233333333333331,0.16666666666666666,0.2833333333333333,2.4,2.42,0.14666666666666667,0.28,0.12666666666666668,0.14,0.04666666666666667,0.11333333333333333,114,JAISALMER
18,RAJASTHAN (8),JALORE (104),104,363451.0,186177.0,174848.0,84820.0,0.8814814814814815,2.8814814814814813,1.0777777777777775,0.0,3.6740740740740736,1.0074074074074073,5.07037037037037,2.2555555555555555,0.16296296296296298,0.4666666666666667,0.5037037037037037,0.022222222222222227,0.3037037037037037,3.9444444444444446,1.2703703703703704,2.862962962962963,0.1814814814814815,0.6481481481481481,3.874074074074074,2.9,0.15555555555555556,0.4666666666666667,0.3333333333333333,0.014814814814814815,0.07407407407407407,0.05925925925925926,116,JALORE
19,RAJASTHAN (8),JHALAWAR (105),105,88714.0,45896.0,42125.0,18088.0,1.13,2.81,1.03,0.1,2.69,1.57,4.485,2.49,0.05,0.14,0.69,0.08,0.35,3.04,0.765,1.895,0.32,0.615,2.9,2.785,0.16,0.34,0.875,0.08,0.01,0.05,129,JHALAWAR
20,RAJASTHAN (8),JHUNJHUNU (106),106,419340.0,218274.0,198935.0,93061.0,1.132596685082873,2.6850828729281764,1.281767955801105,0.0055248618784530384,4.0,2.165745856353591,5.425414364640883,2.5745856353591154,0.143646408839779,0.3701657458563536,0.4696132596685083,0.03314917127071823,0.5801104972375689,4.966850828729282,1.4723756906077348,2.9171270718232045,0.4419889502762431,0.6933701657458563,4.68232044198895,2.729281767955801,0.07734806629834254,0.5359116022099447,0.5303867403314917,0.0,0.06629834254143646,0.08839779005524863,103,JHUNJHUNU
21,RAJASTHAN (8),JODHPUR (107),107,783976.0,399564.0,354246.0,157782.0,1.0137741046831956,2.212121212121212,0.8801652892561983,0.013774104683195593,3.559228650137741,1.1955922865013775,4.581267217630853,2.4655647382920107,0.08539944903581267,0.3774104683195592,0.3333333333333333,0.05509641873278237,0.2176308539944904,3.5013774104683195,1.0909090909090908,2.508264462809917,0.2258953168044077,0.7837465564738292,3.221763085399449,2.676308539944904,0.09366391184573004,0.231404958677686,0.4035812672176309,0.04683195592286502,0.05234159779614325,0.0440771349862259,113,JODHPUR
22,RAJASTHAN (8),KARAULI (108),108,569809.0,304430.0,263210.0,108247.0,1.2033333333333334,3.1,1.5566666666666666,0.15333333333333332,3.6433333333333335,0.85,5.185,2.0,0.09,0.4066666666666667,0.41,0.09,0.17333333333333334,3.87,1.0666666666666669,2.6733333333333333,0.455,0.7533333333333333,3.518333333333333,2.881666666666667,0.15666666666666668,0.42,0.655,0.19333333333333333,0.09333333333333334,0.18666666666666668,107,KARAULI
23,RAJASTHAN (8),KOTA (109),109,323402.0,167485.0,152837.0,80123.0,1.482824427480916,3.3435114503816794,1.4122137404580153,0.07633587786259542,2.9236641221374047,1.366412213740458,4.593511450381679,2.2080152671755724,0.06870229007633588,0.2824427480916031,0.3320610687022901,0.05725190839694656,0.3091603053435115,3.0610687022900764,0.8091603053435115,1.948473282442748,0.29961832061068705,0.7557251908396947,3.3282442748091605,2.8664122137404577,0.1450381679389313,0.3816793893129771,1.3931297709923665,0.04580152671755725,0.04198473282442748,0.053435114503816786,127,KOTA
24,RAJASTHAN (8),NAGAUR (110),110,403259.0,210059.0,191236.0,84885.0,1.0523560209424083,1.6780104712041886,1.1361256544502618,0.0,3.958115183246073,1.5706806282722514,5.267015706806283,2.589005235602094,0.06282722513089005,0.418848167539267,0.4921465968586388,0.031413612565445025,0.4869109947643979,4.070680628272251,1.3664921465968587,2.5732984293193724,0.2329842931937173,0.7041884816753927,4.154450261780105,2.7539267015706805,0.11518324607329845,0.4293193717277487,0.4214659685863874,0.015706806282722512,0.08900523560209424,0.06806282722513089,112,NAGAUR
25,RAJASTHAN (8),PALI (111),111,376857.0,168864.0,158850.0,87522.0,1.4082840236686391,2.4349112426035497,1.482248520710059,0.08875739644970414,3.8047337278106514,1.5562130177514792,5.346153846153847,2.5798816568047336,0.05325443786982249,0.4260355029585799,0.621301775147929,0.035502958579881665,0.5443786982248521,4.402366863905326,1.2633136094674555,2.603550295857988,0.2366863905325444,1.0621301775147929,4.076923076923077,3.180473372781065,0.15384615384615385,0.4142011834319527,0.5532544378698225,0.08284023668639054,0.08875739644970414,0.07100591715976333,118,PALI
26,RAJASTHAN (8),PRATAPGARH (629),629,241774.0,120317.0,117070.0,62401.0,1.5149253731343284,2.9309701492537314,1.7966417910447758,0.04477611940298507,3.2574626865671643,1.2649253731343284,5.018656716417911,2.201492537313433,0.06716417910447761,0.2388059701492537,0.5261194029850746,0.048507462686567165,0.5597014925373134,3.1884328358208958,0.7947761194029851,1.6958955223880596,0.2854477611940299,0.8824626865671642,3.0559701492537314,3.1194029850746268,0.20895522388059698,0.26492537313432835,0.5988805970149254,0.018656716417910446,0.04104477611940298,0.02985074626865672,131,PRATAPGARH
27,RAJASTHAN (8),RAJSAMAND (112),112,224763.0,108337.0,106129.0,52508.0,1.2675,2.7125,1.2875,0.035,3.825,1.645,5.2575,2.575,0.05,0.29,0.735,0.04,0.255,3.485,1.095,1.9775,0.2275,0.5475,3.4975,2.7275,0.145,0.51,1.015,0.0,0.035,0.04,123,RAJSAMAND
28,RAJASTHAN (8),SAWAI MADHOPUR (113),113,179179.0,92033.0,81472.0,39055.0,0.995,2.91,0.895,0.06,3.62,0.66,5.465,1.98,0.04,0.26,0.48,0.06,0.17,3.615,1.21,2.405,0.345,0.705,2.88,2.93,0.09,0.15,0.625,0.01,0.03,0.08,108,SAWAI MADHOPUR
29,RAJASTHAN (8),SIKAR (114),114,432564.0,221692.0,202019.0,90095.0,1.6895604395604396,3.024725274725274,1.9038461538461535,0.04945054945054945,3.934065934065934,1.9285714285714288,5.574175824175824,2.659340659340659,0.1813186813186813,0.445054945054945,0.5714285714285714,0.0989010989010989,0.42857142857142855,4.925824175824176,1.4203296703296704,2.9285714285714284,0.36813186813186816,0.8379120879120879,4.206043956043956,2.5494505494505493,0.13186813186813187,0.4945054945054945,0.5192307692307693,0.03296703296703297,0.13186813186813187,0.14835164835164835,111,SIKAR
30,RAJASTHAN (8),SIROHI (115),115,445296.0,229648.0,211218.0,97644.0,1.6205882352941177,3.1911764705882355,1.561764705882353,0.052941176470588235,3.4235294117647057,1.4705882352941178,5.476470588235293,2.502941176470588,0.06470588235294117,0.4411764705882353,0.6588235294117647,0.05882352941176471,0.4529411764705882,4.658823529411765,1.3647058823529412,2.6794117647058817,0.2852941176470588,0.8382352941176471,4.314705882352942,2.4176470588235293,0.3411764705882353,0.4588235294117647,0.5411764705882353,0.011764705882352941,0.09411764705882353,0.07647058823529412,117,SIROHI
31,RAJASTHAN (8),TONK (116),116,144761.0,76050.0,68586.0,35544.0,0.9561403508771931,2.87280701754386,1.4692982456140349,0.07017543859649122,3.3859649122807016,1.5614035087719298,4.421052631578949,2.324561403508772,0.07017543859649122,0.2719298245614035,0.6228070175438597,0.02631578947368421,0.2543859649122807,3.2412280701754392,0.8991228070175439,1.9342105263157892,0.2631578947368421,0.4166666666666667,2.8684210526315788,2.679824561403509,0.04385964912280702,0.2807017543859649,0.4912280701754386,0.0,0.04385964912280702,0.03508771929824561,120,TONK
32,RAJASTHAN (8),UDAIPUR (117),117,123758.0,63975.0,58378.0,29255.0,1.5673076923076923,3.1298076923076925,2.0528846153846154,0.4519230769230769,3.1057692307692313,1.0384615384615383,5.658653846153847,1.8894230769230769,0.3076923076923077,0.5480769230769231,0.6346153846153846,0.20192307692307693,0.5096153846153846,4.120192307692308,1.0144230769230769,2.8605769230769234,0.6586538461538461,1.2259615384615383,3.870192307692308,2.8509615384615383,0.36538461538461536,0.36538461538461536,0.8605769230769231,0.5480769230769231,0.22115384615384612,0.3173076923076923,130,UDAIPUR
